word,lexicon
someone,SMART
something,SMART
sometime,SMART
sometimes,SMART
somewhat,SMART
somewhere,SMART
soon,SMART
sorry,SMART
specified,SMART
specify,SMART
specifying,SMART
still,SMART
sub,SMART
such,SMART
sup,SMART
sure,SMART
t,SMART
t's,SMART
take,SMART
taken,SMART
tell,SMART
tends,SMART
th,SMART
than,SMART
thank,SMART
thanks,SMART
thanx,SMART
that,SMART
that's,SMART
thats,SMART
the,SMART
their,SMART
theirs,SMART
them,SMART
themselves,SMART
then,SMART
thence,SMART
there,SMART
there's,SMART
thereafter,SMART
thereby,SMART
therefore,SMART
therein,SMART
theres,SMART
thereupon,SMART
these,SMART
they,SMART
they'd,SMART
they'll,SMART
they're,SMART
they've,SMART
think,SMART
third,SMART
this,SMART
thorough,SMART
thoroughly,SMART
those,SMART
though,SMART
three,SMART
through,SMART
throughout,SMART
thru,SMART
thus,SMART
to,SMART
together,SMART
too,SMART
took,SMART
toward,SMART
towards,SMART
tried,SMART
tries,SMART
truly,SMART
try,SMART
trying,SMART
twice,SMART
two,SMART
u,SMART
un,SMART
under,SMART
unfortunately,SMART
unless,SMART
unlikely,SMART
until,SMART
unto,SMART
up,SMART
upon,SMART
us,SMART
use,SMART
used,SMART
useful,SMART
uses,SMART
using,SMART
usually,SMART
uucp,SMART
v,SMART
value,SMART
various,SMART
very,SMART
via,SMART
viz,SMART
vs,SMART
w,SMART
want,SMART
wants,SMART
was,SMART
wasn't,SMART
way,SMART
we,SMART
we'd,SMART
we'll,SMART
we're,SMART
we've,SMART
welcome,SMART
well,SMART
went,SMART
were,SMART
weren't,SMART
what,SMART
what's,SMART
whatever,SMART
when,SMART
whence,SMART
whenever,SMART
where,SMART
where's,SMART
whereafter,SMART
whereas,SMART
whereby,SMART
wherein,SMART
whereupon,SMART
wherever,SMART
whether,SMART
which,SMART
while,SMART
whither,SMART
who,SMART
who's,SMART
whoever,SMART
whole,SMART
whom,SMART
whose,SMART
why,SMART
will,SMART
willing,SMART
wish,SMART
with,SMART
within,SMART
without,SMART
won't,SMART
wonder,SMART
would,SMART
would,SMART
wouldn't,SMART
x,SMART
y,SMART
yes,SMART
yet,SMART
you,SMART
you'd,SMART
you'll,SMART
you're,SMART
you've,SMART
your,SMART
yours,SMART
yourself,SMART
yourselves,SMART
z,SMART
zero,SMART
